2017-02-14 10:31:51 install libcap2:amd64 <none> 1:2.24-8
2017-02-14 10:31:51 status half-installed libcap2:amd64 1:2.24-8
2017-02-14 10:31:51 status unpacked libcap2:amd64 1:2.24-8
2017-02-14 10:31:51 status unpacked libcap2:amd64 1:2.24-8
2017-02-14 10:31:51 install libcap2-bin:amd64 <none> 1:2.24-8
2017-02-14 10:31:51 status half-installed libcap2-bin:amd64 1:2.24-8
2017-02-14 10:31:51 status unpacked libcap2-bin:amd64 1:2.24-8
2017-02-14 10:31:51 status unpacked libcap2-bin:amd64 1:2.24-8
2017-02-14 10:31:51 install libgcrypt20:amd64 <none> 1.6.3-2+deb8u2
2017-02-14 10:31:51 status half-installed libgcrypt20:amd64 1.6.3-2+deb8u2
2017-02-14 10:31:52 status unpacked libgcrypt20:amd64 1.6.3-2+deb8u2
2017-02-14 10:31:52 status unpacked libgcrypt20:amd64 1.6.3-2+deb8u2
2017-02-14 10:31:52 install libgpg-error0:amd64 <none> 1.17-3
2017-02-14 10:31:52 status half-installed libgpg-error0:amd64 1.17-3
2017-02-14 10:31:52 status unpacked libgpg-error0:amd64 1.17-3
2017-02-14 10:31:52 status unpacked libgpg-error0:amd64 1.17-3
2017-02-14 10:31:52 install liblocale-gettext-perl:amd64 <none> 1.05-8+b1
2017-02-14 10:31:52 status half-installed liblocale-gettext-perl:amd64 1.05-8+b1
2017-02-14 10:31:52 status unpacked liblocale-gettext-perl:amd64 1.05-8+b1
2017-02-14 10:31:52 status unpacked liblocale-gettext-perl:amd64 1.05-8+b1
2017-02-14 10:31:52 install libselinux1:amd64 <none> 2.3-2
2017-02-14 10:31:52 status half-installed libselinux1:amd64 2.3-2
2017-02-14 10:31:52 status unpacked libselinux1:amd64 2.3-2
2017-02-14 10:31:52 status unpacked libselinux1:amd64 2.3-2
2017-02-14 10:31:52 install libsemanage-common:all <none> 2.3-1
2017-02-14 10:31:52 status half-installed libsemanage-common:all 2.3-1
2017-02-14 10:31:52 status unpacked libsemanage-common:all 2.3-1
2017-02-14 10:31:52 status unpacked libsemanage-common:all 2.3-1
2017-02-14 10:31:52 install libsemanage1:amd64 <none> 2.3-1+b1
2017-02-14 10:31:52 status half-installed libsemanage1:amd64 2.3-1+b1
2017-02-14 10:31:52 status unpacked libsemanage1:amd64 2.3-1+b1
2017-02-14 10:31:52 status unpacked libsemanage1:amd64 2.3-1+b1
2017-02-14 10:31:52 install libsepol1:amd64 <none> 2.3-2
2017-02-14 10:31:52 status half-installed libsepol1:amd64 2.3-2
2017-02-14 10:31:52 status unpacked libsepol1:amd64 2.3-2
2017-02-14 10:31:52 status unpacked libsepol1:amd64 2.3-2
2017-02-14 10:31:52 install libtext-charwidth-perl:amd64 <none> 0.04-7+b3
2017-02-14 10:31:52 status half-installed libtext-charwidth-perl:amd64 0.04-7+b3
2017-02-14 10:31:52 status unpacked libtext-charwidth-perl:amd64 0.04-7+b3
2017-02-14 10:31:52 status unpacked libtext-charwidth-perl:amd64 0.04-7+b3
2017-02-14 10:31:52 install libtext-iconv-perl:amd64 <none> 1.7-5+b2
2017-02-14 10:31:52 status half-installed libtext-iconv-perl:amd64 1.7-5+b2
2017-02-14 10:31:52 status unpacked libtext-iconv-perl:amd64 1.7-5+b2
2017-02-14 10:31:52 status unpacked libtext-iconv-perl:amd64 1.7-5+b2
2017-02-14 10:31:52 install libtext-wrapi18n-perl:all <none> 0.06-7
2017-02-14 10:31:52 status half-installed libtext-wrapi18n-perl:all 0.06-7
2017-02-14 10:31:52 status unpacked libtext-wrapi18n-perl:all 0.06-7
2017-02-14 10:31:52 status unpacked libtext-wrapi18n-perl:all 0.06-7
2017-02-14 10:31:52 install lsb-base:all <none> 4.1+Debian13+nmu1
2017-02-14 10:31:52 status half-installed lsb-base:all 4.1+Debian13+nmu1
2017-02-14 10:31:52 status unpacked lsb-base:all 4.1+Debian13+nmu1
2017-02-14 10:31:52 status unpacked lsb-base:all 4.1+Debian13+nmu1
2017-02-14 10:31:52 install dmsetup:amd64 <none> 2:1.02.90-2.2+deb8u1
2017-02-14 10:31:52 status half-installed dmsetup:amd64 2:1.02.90-2.2+deb8u1
2017-02-14 10:31:52 status unpacked dmsetup:amd64 2:1.02.90-2.2+deb8u1
2017-02-14 10:31:52 status unpacked dmsetup:amd64 2:1.02.90-2.2+deb8u1
2017-02-14 10:31:52 install libdevmapper1.02.1:amd64 <none> 2:1.02.90-2.2+deb8u1
2017-02-14 10:31:52 status half-installed libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2017-02-14 10:31:52 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
